word	phon	N.syl	freq.orth
ironing	'2-@-nIN	3	8
is	'Iz	1	576
isn't	'I-zHt	2	129
it	It	1	983
it'll	'I-tP	2	6
it's	'Its	1	213
its	'Its	1	8
jacket	'_{-kIt	2	1
jamas	'_#-m@z	2	0
jiggle	'_I-gP	2	1
jiggled	'_I-gPd	2	3
job	'_Qb	1	2
johnson's	'_Qn-sHz	2	2
join	'_4n	1	1
joke	'_5k	1	1
joseph	'_5-sEf	2	5
joseph's	'_5-sEfs	2	2
journey	'_3-nI	2	1
juice	'_us	1	17
julie	'_u-lI	2	3
jump	'_Vmp	1	2
jumper	'_Vm-p@R	2	4
jumping	'_Vm-pIN	2	1
just	'_Vst	1	108
jutting	'_V-tIN	2	1
keen	'kin	1	3
keep	'kip	1	11
keeping	'ki-pIN	2	2
keeps	'kips	1	1
keith	'kiT	1	31
kettle	'kE-tP	2	2
kick	'kIk	1	67
kicked	'kIkt	1	2
kickello	kI-'kE-l5	3	2
kicking	'kI-kIN	2	21
kidding	'kI-dIN	2	2
kidney	'kId-nI	2	1
killing	'kI-lIN	2	1
kind	'k2nd	1	2
king	'kIN	1	2
kiss	'kIs	1	24
kitchen	'kI-JIn	2	1
kittens	'kI-tHz	2	2
kitty	'kI-tI	2	1
knacks	'n{ks	1	0
knee	'ni	1	3
knees	'niz	1	4
knew	'nju	1	4
knick	'nIk	1	0
knicker	'nI-k@	2	0
knock	'nQk	1	2
knockers	'nQ-k@z	2	2
knot	'nQt	1	1
know	'n5	1	124
knows	'n5z	1	3
knuckles	'nV-kPz	2	2
lad	'l{d	1	10
lady	'l1-dI	2	1
lambchahhh	'l{m-JQ	2	1
lambchop	'l{m-JQp	2	25
lambchop's	'l{m-JQps	2	2
lambs	'l{mz	1	2
lard	'l#d	1	3
last	'l#st	1	7
late	'l1t	1	3
laugh	'l#f	1	23
laughing	'l#-fIN	2	7
laughs	'l#fs	1	3
learnt	'l3nt	1	1
least	'list	1	2
leave	'liv	1	8
leaving	'li-vIN	2	1
left	'lEft	1	10
leg	'lEg	1	4
leggies	'lE-gIz	2	6
leggy	'lE-gI	2	1
legs	'lEgz	1	23
lemon	'lE-m@n	2	6
lend	'lEnd	1	1
less	'lEs	1	1
let	'lEt	1	20
let's	'lEts	1	71
lets	'lEts	1	2
lewi	'lu-I	2	1
lewis	'lu-Is	2	17
liar	'l2-@R	2	1
licking	'lI-kIN	2	1
lie	'l2	1	11
life	'l2f	1	4
lift	'lIft	1	6
lifting	'lIf-tIN	2	1
lifty	'lIf-tI	2	1
light	'l2t	1	4
lights	'l2ts	1	3
like	'l2k	1	199
liked	'l2kt	1	1
likes	'l2ks	1	2
line	'l2n	1	1
lip	'lIp	1	3
listen	'lI-sH	2	2
little	'lI-tP	2	173
lives	'lIvz	1	1
locks	'lQks	1	1
lonely	'l5n-lI	2	1
long	'lQN	1	21
longer	'lQN-g@R	2	3
look	'lUk	1	186
looked	'lUkt	1	1
looking	'lU-kIN	2	56
looks	'lUks	1	10
lorry	'lQ-rI	2	1
lost	'lQst	1	9
lot	'lQt	1	7
lot's	'lQts	1	1
lots	'lQts	1	0
lou-lou	'lu-lu	2	0
love	'lVv	1	8
lovely	'lVv-lI	2	36
loves	'lVvz	1	1
lu	'lu	1	0
lucky	'lV-kI	2	4
lulu	'lu-lu	2	16
lulu's	'lu-luz	2	1
lump	'lVmp	1	2
lunch	'lVnJ	1	13
lunchtime	'lVnJ-t2m	2	1
lying	'l2-IN	2	6
machine	m@-'Sin	2	1
mad	'm{d	1	2
madam	'm{-d@m	2	3
madame	'm{-d@m	2	5
made	'm1d	1	6
make	'm1k	1	61
makes	'm1ks	1	18
making	'm1-kIN	2	17
man	'm{n	1	12
man-sized	'm{n-s2zd	2	0
manage	'm{-nI_	2	7
managed	'm{-nI_d	2	1
managing	'm{-nI-_IN	3	1
many	'mE-nI	2	1
