word	phon
goodbye	"gUd-'b2
goodies	'gU-dIz
goodness	'gUd-nIs
goose	'gus
gorgeous	'g$-_@s
gosh	'gQS
got	'gQt
gotta	'gQ-t@
gou	'g6
gown	'g6n
grab	'gr{b
gracious	'gr1-S@s
granddad	'gr{n-d{d
grandma	'gr{n-m#
grease	'griz
great	'gr1t
greedy	'gri-dI
grip	'grIp
grotty	'grQ-tI
grow	'gr5
grown	'gr5n
growth	'gr5T
grub	'grVb
grubby	'grV-bI
grumpy	'grVm-pI
grunt	'grVnt
grunting	'grVn-tIN
gums	'gVmz
guts	'gVts
guy	'g2
ha	'h#
had	'h{d
hadn't	'h{-dHt
hair	'h8R
half	'h#f
hand	'h{nd
handies	'h{n-dIz
hands	'h{ndz
handy	'h{n-dI
hang	'h{N
hanging	'h{-NIN
hanky	'h{N-kI
hannah	'h{-n@
hannah's	'h{-n@z
happen	'h{-p@n
happened	'h{-p@nd
happening	'h{-p@-nIN
happy	'h{-pI
hard	'h#d
has	'h{z
hasn't	'h{-zHt
hassles	'h{-sPz
hat	'h{t
have	'h{v
haven't	'h{-vHt
having	'h{-vIN
hay	'h1
he	'hi
he'll	'hil
he's	'hiz
head	'hEd
heads	'hEdz
heady	'hE-dI
health	'hElT
hear	'h7R
heavens	'hE-vHz
heavily	'hE-vI-lI
heavy	'hE-vI
heehee	'hi-'hi
hello	h@-'l5
help	'hElp
helping	'hEl-pIN
helps	'hElps
her	h3R
here	'h7R
here's	'h7z
hey	'h1
hey-ya	'h1-'jQ
hi	'h2
hiccup	'hI-kVp
hiccups	'hI-kVps
hick	'hIk
hickies	'hI-kIz
hidden	'hI-dH
hide	'h2d
hiding	'h2-dIN
high	'h2
hilda	'hIl-d@
him	hIm
his	hIz
hit	'hIt
hmm	'hF
hmm-hmm	'hF-'hF
ho	'h5
hoi	'b4
hold	'h5ld
holding	'h5l-dIN
hole	'h5l
holes	'h5lz
home	'h5m
honest	'Q-nIst
hop	'hQp
hope	'h5p
hopeless	'h5p-lIs
hoping	'h5-pIN
horny	'h$-nI
horrible	'hQ-r@-bP
horror	'hQ-r@R
hot	'hQt
hour	'6-@R
house	'h6s
how	'h6
how'd	'h6d
how's	'h6z
huge	'hju_
huh	'hV
hungry	'hVN-grI
hurry	'hV-rI
hurt	'h3t
i	'2
i'd	'2d
i'll	'2l
i'm	'2m
i've	'2v
ideas	2-'d7z
if	If
in	'In
in't	'Int
indian	'In-dj@n
inside	"In-'s2d
inspect	In-'spEkt
instead	In-'stEd
insult	In-'sVlt
interest	'In-tr@st
interested	'In-tr@-stId
interesting	'In-tr@-stIN
into	'In-tu
iray	'2-r1
iron	'2-@n
ironing	'2-@-nIN
is	'Iz
isn't	'I-zHt
it	It
it'll	'I-tP
it's	'Its
its	'Its
jacket	'_{-kIt
jamas	'_#-m@z
jiggle	'_I-gP
